site_num,ID,Name,Lat,Lon,Height,data_link
1,018106,NULLARBOR,-31.45,130.90,64.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94651.axf
2,018200,THEVENARD,-32.18,133.63,8.54,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95653.axf
3,018191,COLES_POINT,-34.37,135.37,28.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94658.axf
4,018192,PORT_LINCOLN AWS,-34.60,135.88,8.5,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95661.axf
5,018115,NEPTUNE_ISLAND,-35.34,136.12,32.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94804.axf
6,018120,WHYALLA_AERO,-33.05,137.52,9.3,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95664.axf
7,018201,PORT_AUGUSTA_AERO,-32.51,137.72,13.97,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95666.axf
8,021139,PORT_PIRIE_AERODROME AWS,-33.24,138.00,12.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.99749.axf
9,022049,STENHOUSE_BAY,-35.28,136.94,42.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95806.axf
10,022823,CAPE_BORDA,-35.75,136.60,158.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95805.axf
11,022803,CAPE_WILLOUGHBY,-35.84,138.13,55.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94822.axf
12,023052,BLACK_POLE,-34.73,138.47,6.27,http://www.bom.gov.au/fwo/IDS60801/IDS60801.95675.axf
13,023034,ADELAIDE_AIRPORT,-34.95,138.52,2.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94672.axf
14,026095,THE_LIMESTONE,-36.97,139.72,17.0,http://www.bom.gov.au/fwo/IDS60801/IDS60801.94813.axf
 
